id;source_type;source_id;source_location_id;source_region_id;address_region_id;region_id;parent_source_id;parent_location_id;name;slug;is_direct_city;is_city;aoguid;okato;sort_order;is_active;raw_data;created_at;updated_at
1;regions;77;77;77;77;13;"";"";Москва;moskva;1;1;"";"";0;1;"{""synthetic_direct_city_from_slug_mapping"":true,""mapping_id"":96,""source_slug"":""moskva"",""target_slug"":""moskva"",""location_name"":""Москва"",""source_region_id"":77,""shared_region_id"":13}";2026-07-01 16:19:33;2026-07-14 17:00:11
2;regions;78;78;78;78;14;"";"";Санкт-Петербург;sankt-peterburg;1;1;"";"";0;1;"{""synthetic_direct_city_from_slug_mapping"":true,""mapping_id"":97,""source_slug"":""sankt-peterburg"",""target_slug"":""sankt-peterburg"",""location_name"":""Санкт-Петербург"",""source_region_id"":78,""shared_region_id"":14}";2026-07-01 16:19:33;2026-07-14 17:00:11
3;regions;80401;80401;80401;80401;1;2;"";Уфа;ufa;1;1;7339e834-2cb4-4734-a4c7-1fca2c66e562;"";0;1;"{""id"":80401,""parent_id"":2,""name"":""Уфа"",""url"":""ufa"",""AOGUID"":""7339e834-2cb4-4734-a4c7-1fca2c66e562"",""bigcity"":1,""global_region_id"":7}";2026-07-01 16:19:33;2026-07-14 16:59:57
4;regions;92401;92401;92401;92401;2;16;"";Казань;kazan;1;1;93b3df57-4c89-44df-ac42-96f05e9cd3b9;"";0;1;"{""id"":92401,""parent_id"":16,""name"":""Казань"",""url"":""kazan"",""AOGUID"":""93b3df57-4c89-44df-ac42-96f05e9cd3b9"",""bigcity"":1,""global_region_id"":7}";2026-07-01 16:19:33;2026-07-14 16:59:57
5;regions;18401;18401;18401;18401;3;34;"";Волгоград;volgograd;1;1;a52b7389-0cfe-46fb-ae15-298652a64cf8;"";0;1;"{""id"":18401,""parent_id"":34,""name"":""Волгоград"",""url"":""volgograd"",""AOGUID"":""a52b7389-0cfe-46fb-ae15-298652a64cf8"",""bigcity"":1,""global_region_id"":2}";2026-07-01 16:19:33;2026-07-14 16:59:57
6;regions;195;195;195;195;4;47;"";Колпино;kolpino;1;1;1e11a121-81c4-4b66-b11c-da8f47db2e1d;"";0;1;"{""id"":195,""parent_id"":47,""name"":""Колпино"",""url"":""kolpino"",""AOGUID"":""1e11a121-81c4-4b66-b11c-da8f47db2e1d"",""bigcity"":1,""global_region_id"":5}";2026-07-01 16:19:33;2026-07-14 16:59:57
7;regions;194;194;194;194;5;50;"";Балашиха;balashiha;1;1;27c5bc66-61bf-4a17-b0cd-ca0eb64192d6;"";0;1;"{""id"":194,""parent_id"":50,""name"":""Балашиха"",""url"":""balashiha"",""AOGUID"":""27c5bc66-61bf-4a17-b0cd-ca0eb64192d6"",""bigcity"":1,""global_region_id"":1}";2026-07-01 16:19:33;2026-07-14 16:59:57
8;regions;22401;22401;22401;22401;6;52;"";Нижний Новгород;nizhniy-novgorod;1;1;555e7d61-d9a7-4ba6-9770-6caa8198c483;"";0;1;"{""id"":22401,""parent_id"":52,""name"":""Нижний Новгород"",""url"":""nizhniy-novgorod"",""AOGUID"":""555e7d61-d9a7-4ba6-9770-6caa8198c483"",""bigcity"":1,""global_region_id"":7}";2026-07-01 16:19:33;2026-07-14 16:59:57
9;regions;50401;50401;50401;50401;7;54;"";Новосибирск;novosibirsk;1;1;8dea00e3-9aab-4d8e-887c-ef2aaa546456;"";0;1;"{""id"":50401,""parent_id"":54,""name"":""Новосибирск"",""url"":""novosibirsk"",""AOGUID"":""8dea00e3-9aab-4d8e-887c-ef2aaa546456"",""bigcity"":1,""global_region_id"":4}";2026-07-01 16:19:33;2026-07-14 16:59:57
10;regions;52401;52401;52401;52401;8;55;"";Омск;omsk;1;1;140e31da-27bf-4519-9ea0-6185d681d44e;"";0;1;"{""id"":52401,""parent_id"":55,""name"":""Омск"",""url"":""omsk"",""AOGUID"":""140e31da-27bf-4519-9ea0-6185d681d44e"",""bigcity"":1,""global_region_id"":4}";2026-07-01 16:19:33;2026-07-14 16:59:57
11;regions;60401;60401;60401;60401;9;61;"";Ростов-на-Дону;rostov-na-donu;1;1;c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5;"";0;1;"{""id"":60401,""parent_id"":61,""name"":""Ростов-на-Дону"",""url"":""rostov-na-donu"",""AOGUID"":""c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5"",""bigcity"":1,""global_region_id"":2}";2026-07-01 16:19:33;2026-07-14 16:59:57
12;regions;36401;36401;36401;36401;10;63;"";Самара;samara;1;1;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;"";0;1;"{""id"":36401,""parent_id"":63,""name"":""Самара"",""url"":""samara"",""AOGUID"":""bb035cc3-1dc2-4627-9d25-a1bf2d4b936b"",""bigcity"":1,""global_region_id"":7}";2026-07-01 16:19:33;2026-07-14 16:59:57
13;regions;65401;65401;65401;65401;11;66;"";Екатеринбург;ekaterinburg;1;1;2763c110-cb8b-416a-9dac-ad28a55b4402;"";0;1;"{""id"":65401,""parent_id"":66,""name"":""Екатеринбург"",""url"":""ekaterinburg"",""AOGUID"":""2763c110-cb8b-416a-9dac-ad28a55b4402"",""bigcity"":1,""global_region_id"":3}";2026-07-01 16:19:33;2026-07-14 16:59:57
